rank,city,state,estimate_population_2017,census_2018,change,land_area_miles_2016,land_area_km_2016,population_density_miles_2016,population_density_km_2016,city_link,area_codes,county,area_land,gov_mayor,area_metro,gov_type,area_water,about_city,lattitude,longitude,country
219,Athens,Georgia,125964,115452,+9.11,116.4  ,301.5 ,1060 ,410,"https://en.wikipedia.org/wiki/Athens,_Georgia",area code,county,• land,• mayor,• metro,nan,• water, , 33.949, -83.3701,USA
220,Topeka,Kansas,125904,127473,−1.23,61.5  ,159.3 ,2062 ,796,"https://en.wikipedia.org/wiki/Topeka,_Kansas",area code,county,• land,• mayor,• metro,• type,• water, , 39.034, -95.6962,USA
221,Simi Valley,California,125851,124237,+1.30,41.5  ,107.5 ,3044 ,1175,"https://en.wikipedia.org/wiki/Simi_Valley,_California",area code,county,• land,nan,nan,• type,• water, ,34.2669,-118.7485,USA
222,Fargo,North Dakota,124844,105549,+18.28,49.3  ,127.7 ,2450 ,950,"https://en.wikipedia.org/wiki/Fargo,_North_Dakota",area code,county,• land,• mayor,• metro,nan,• water, , 46.865, -96.8290,USA
223,Norman,Oklahoma,123471,110925,+11.31,178.8  ,463.1 ,683 ,264,"https://en.wikipedia.org/wiki/Norman,_Oklahoma",area code,county,• land,• mayor,• metro,• type,• water, , 35.240, -97.3453,USA
224,Columbia,Missouri,123180,108500,+13.53,65.0  ,168.3 ,1856 ,717,"https://en.wikipedia.org/wiki/Columbia,_Missouri",area code,county,• land,• mayor,nan,• type,• water, ,951561;,92.328638,USA
225,Abilene,Texas,122999,117063,+5.07,106.7  ,276.4 ,1146 ,442,"https://en.wikipedia.org/wiki/Abilene,_Texas",area code,counties,• land,nan,• metro,• type,• water, , 32.454, -99.7381,USA
226,Wilmington,North Carolina,122607,106476,+15.15,51.6  ,133.6 ,2278 ,880,"https://en.wikipedia.org/wiki/Wilmington,_North_Carolina",nan,nan,nan,nan,nan,nan,nan, , 34.209, -77.8858,USA
227,Hartford,Connecticut,122587,124775,−1.75,17.4  ,45.1 ,7083 ,2735,"https://en.wikipedia.org/wiki/Hartford,_Connecticut",area code,county,• land,• mayor,• metro,• type,• water, , 41.765, -72.6816,USA
228,Victorville,California,122312,115903,+5.53,73.3  ,189.8 ,1668 ,644,"https://en.wikipedia.org/wiki/Victorville,_California",area codes,county,• land,• mayor,nan,nan,• water, ,34.5277,-117.3536,USA
